open_time,close_time,symbol,strategy,direction,signal_price,entry_price,sl_price,tp_price,quantity,margin_usdt,leverage,outcome,pnl_pct,pnl_usdt,fee_usdt,slippage_pct,signal_time
2026-04-17 09:30 UTC,2026-04-17 09:32 UTC,VETUSDT,S1_EMA_CROSS,LONG,0.007339,0.007339,0.007302,0.007449,136258.0,20.0,50,LOSS,-0.504,-5.04,1.0,0.0,2026-04-17 09:15 UTC
2026-04-17 09:15 UTC,2026-04-17 10:29 UTC,SEIUSDT,S1_EMA_CROSS,LONG,0.05813,0.0581,0.0578,0.059,6884.0,20.0,20,LOSS,-0.516,-2.07,0.4,-0.0516,2026-04-17 09:00 UTC
2026-04-17 12:15 UTC,2026-04-17 12:42 UTC,SEIUSDT,S1_EMA_CROSS,LONG,0.05857,0.0585,0.0582,0.0594,6837.0,20.0,20,LOSS,-0.513,-2.05,0.4,-0.1195,2026-04-17 12:00 UTC
2026-04-20 05:45 UTC,2026-04-20 06:04 UTC,SEIUSDT,S1_EMA_CROSS,SHORT,0.05436,0.0544,0.0547,0.0536,7352.0,20.0,20,LOSS,-0.551,-2.21,0.4,0.0736,2026-04-20 05:30 UTC
2026-04-20 05:45 UTC,2026-04-20 06:31 UTC,ENSUSDT,S1_EMA_CROSS,SHORT,5.768,5.776,5.805,5.689,86.5,20.0,25,LOSS,-0.502,-2.51,0.5,0.1387,2026-04-20 05:30 UTC
2026-04-20 06:30 UTC,2026-04-20 06:41 UTC,ADAUSDT,S1_EMA_CROSS,SHORT,0.244,0.2442,0.2454,0.2405,4095.0,20.0,50,LOSS,-0.491,-4.91,1.0,0.082,2026-04-20 06:15 UTC
2026-04-20 05:45 UTC,2026-04-20 06:41 UTC,SYRUPUSDT,S1_EMA_CROSS,SHORT,0.22708,0.22714,0.22828,0.22373,4402.0,20.0,50,LOSS,-0.502,-5.02,1.0,0.0264,2026-04-20 05:30 UTC
2026-04-20 05:45 UTC,2026-04-20 06:51 UTC,VETUSDT,S1_EMA_CROSS,SHORT,0.00697,0.006981,0.007016,0.006876,143245.0,20.0,50,LOSS,-0.501,-5.01,1.0,0.1578,2026-04-20 05:30 UTC
2026-04-20 05:45 UTC,2026-04-20 09:57 UTC,ZECUSDT,S1_EMA_CROSS,SHORT,305.0,305.32,306.85,300.74,3.275,20.0,50,LOSS,-0.426,-4.26,1.0,0.1049,2026-04-20 05:30 UTC
